cycle_id,ADG,start_date,end_date,start_weight,end_weight,duration_days
24521.0,0.24031055900621118,2023-08-23,2024-01-31,0.18,38.87,161
24522.0,0.2363690476190476,2023-08-23,2024-02-07,0.09,39.8,168
24538.0,,2023-09-20,2023-09-20,5.55,5.55,0
24541.0,0.19392857142857142,2023-09-13,2023-10-11,2.97,8.4,28
24542.0,0.18357142857142858,2023-09-13,2023-10-11,2.86,8.0,28
24543.0,0.1642857142857143,2023-09-13,2023-10-11,2.8,7.4,28
24544.0,0.17142857142857143,2023-09-13,2023-10-11,2.8,7.6,28
24545.0,0.17500000000000002,2023-09-13,2023-10-11,2.9,7.8,28
24546.0,0.21714285714285714,2023-09-13,2023-09-27,2.76,5.8,14
24561.0,,2023-09-03,2023-09-03,2.86,2.86,0
24569.0,0.13968253968253969,2023-09-05,2023-11-07,2.1,10.9,63
24570.0,0.15079365079365079,2023-09-05,2023-11-07,2.1,11.6,63
24571.0,0.14107142857142857,2023-09-05,2023-10-31,2.6,10.5,56
24572.0,0.12428571428571428,2023-09-05,2023-11-14,2.2,10.9,70
24573.0,0.10714285714285715,2023-09-05,2023-11-14,1.8,9.3,70
24574.0,0.11904761904761904,2023-09-05,2023-11-07,2.6,10.1,63
24575.0,0.1333333333333333,2023-09-05,2023-11-07,2.3,10.7,63
24609.0,,2023-09-18,2023-09-18,8.62,8.62,0
24623.0,,2023-07-27,2023-07-27,5.88,5.88,0
24632.0,0.16545454545454547,2023-08-23,2023-09-14,3.03,6.67,22
24649.0,,2023-09-19,2023-09-19,3.56,3.56,0
24650.0,0.06571428571428571,2023-09-08,2023-09-22,3.41,4.33,14
24652.0,0.25047619047619046,2023-09-08,2023-09-29,2.16,7.42,21
24670.0,0.13352941176470587,2023-09-10,2023-10-14,1.6,6.14,34
24671.0,0.12470588235294118,2023-09-10,2023-10-14,1.55,5.79,34
24672.0,0.1632352941176471,2023-09-10,2023-10-14,1.65,7.2,34
24673.0,0.11588235294117645,2023-09-10,2023-10-14,1.7,5.64,34
24674.0,0.14323529411764704,2023-09-10,2023-10-14,1.65,6.52,34
24685.0,0.2960714285714286,2023-09-08,2023-12-01,2.8,27.67,84
24686.0,0.21038961038961043,2023-09-08,2023-11-24,2.33,18.53,77
24688.0,0.2667857142857143,2023-09-08,2023-12-01,2.63,25.04,84
24689.0,0.2736904761904762,2023-09-08,2023-12-01,2.13,25.12,84
24690.0,0.23845238095238092,2023-09-08,2023-12-01,1.71,21.74,84
24691.0,0.2561904761904762,2023-09-08,2023-12-01,2.13,23.65,84
24692.0,0.27226190476190476,2023-09-08,2023-12-01,2.2,25.07,84
24693.0,0.16545454545454547,2023-09-08,2023-11-24,1.93,14.67,77
24694.0,0.2452857142857143,2023-09-08,2023-11-17,2.0,19.17,70
24695.0,0.2114285714285714,2023-09-08,2023-11-24,2.19,18.47,77
24738.0,0.26221428571428573,2023-09-06,2024-01-24,0.39,37.1,140
24739.0,0.2370833333333333,2023-09-06,2024-02-21,0.56,40.39,168
24740.0,0.23461038961038963,2023-09-06,2024-02-07,0.37,36.5,154
24741.0,0.21244897959183673,2023-08-30,2024-01-24,0.12,31.35,147
24742.0,0.21629870129870132,2023-09-06,2024-02-07,0.37,33.68,154
24743.0,0.24506493506493507,2023-09-06,2024-02-07,0.36,38.1,154
24761.0,0.32045454545454544,2023-08-17,2023-11-13,1.8,30.0,88
24762.0,0.19172413793103446,2023-08-17,2023-10-14,1.58,12.7,58
24763.0,0.1724137931034483,2023-08-17,2023-10-14,1.4,11.4,58
24764.0,0.15869565217391307,2023-08-17,2023-10-02,2.0,9.3,46
24765.0,0.16739130434782612,2023-08-17,2023-10-02,1.6,9.3,46
24766.0,0.1566265060240964,2023-08-17,2023-11-08,2.3,15.3,83
24767.0,0.190253164556962,2023-08-31,2023-11-18,1.17,16.2,79
24768.0,0.14613636363636362,2023-08-31,2023-10-14,1.17,7.6,44
24769.0,0.2488405797101449,2023-08-31,2023-11-08,1.23,18.4,69
24770.0,0.2207594936708861,2023-08-31,2023-11-18,1.06,18.5,79
24771.0,0.18053571428571427,2023-09-13,2023-11-08,2.55,12.66,56
